LST S1PAGING:;%%
RETCODE = 0  操作成功
输出结果如下：
--------------
 框号    槽号    进程号  移动国家码_移动网号  eNodeB类型  eNodeB标识  Tracking area ID  RAT类型    NB-IoT Default Paging DRX
 0       9       6       46000                MACRO_ENB   254748      460007373         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   255319      4600073CF         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   463643      46000E360         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   55058       460007342         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   254682      460007428         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   537762      46000E36B         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   541946      460007363         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   537770      46000E36D         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   541534      460001F5F         NB-IoT     10.24秒                  
(结果个数 = 80)
仍有后续报告输出
---    END
+++    USN/*MEID:6 MENAME:CSMME03BHW*/        2018-05-21 15:02:19+08:00
O&M    #51074
%%
LST S1PAGING:;%%
RETCODE = 0  操作成功
输出结果如下：
--------------
 框号    槽号    进程号  移动国家码_移动网号  eNodeB类型  eNodeB标识  Tracking area ID  RAT类型    NB-IoT Default Paging DRX
 0       9       6       46000                MACRO_ENB   255543      460007449         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   775660      46000E361         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   463515      460007363         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   254593      46000E360         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   775772      46000E360         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   1037185     46000E3FB         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   279391      46000E352         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   1037306     460007342         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   463965      46000E36B         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   55130       46000E3E9         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   1037874     4600073CF         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   54833       46000E36D         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   55434       460007448         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   463079      460007446         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   1038143     460007427         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   463255      460007383         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   55505       460007427         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   537336      460001F4A         NB-IoT     2.56秒                   
 0       9       6       46000                MACRO_ENB   253972      46000744A         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   462886      46000730D         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   1038053     460007433         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   463557      460007363         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   463659      460007446         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   255413      46000744A         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   55452       4600073CF         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   537236      460001F4A         NB-IoT     2.56秒                   
 0       9       6       46000                MACRO_ENB   464060      46000E371         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   255425      46000E360         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   463677      46000730D         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   1037770     460007449         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   254851      460007449         WB-EUTRAN  NULL                     
 0       9       6       46000                MACRO_ENB   279293      460007352         WB-EUTRAN  NULL                     
